iter	RMSE
362	0.8902982095
363	0.8902152912
364	0.8901264322
365	0.8900499193
366	0.8899569454
367	0.8898689995
368	0.8897345868
369	0.8896348115
370	0.8895538443
371	0.8894725947
372	0.8893576405
373	0.8892905744
374	0.8891644066
375	0.8890283191
376	0.8889292251
377	0.8888848081
378	0.8887924707
379	0.8887085299
380	0.8886263424
381	0.8885522856
382	0.8884847736
383	0.8884196402
384	0.8883583441
385	0.8882384337
386	0.8881394592
387	0.8880569788
388	0.8879109077
389	0.8878576261
390	0.8877584137
391	0.8877001469
392	0.8876611806
393	0.8875677024
394	0.8874793143
395	0.8873693979
396	0.8872935637
397	0.8871981113
398	0.8871523619
399	0.887080417
400	0.8869818065
401	0.886851277
402	0.8867612368
403	0.8866541884
404	0.8865816208
405	0.8865089968
406	0.8864481701
407	0.8863567362
408	0.886265195
409	0.8861464883
410	0.8860874761
411	0.8859400899
412	0.8857563892
413	0.8857202304
414	0.8856657046
415	0.8856098654
416	0.885567338
417	0.8854965782
418	0.8854471968
419	0.8853572125
420	0.8852404459
421	0.8851899035
422	0.8850900772
423	0.8850376601
424	0.8850018032
425	0.8849664739
426	0.8848827045
427	0.8848169543
428	0.8847394203
429	0.8846913178
430	0.8846372054
431	0.8846054521
432	0.8845369222
433	0.8844433064
434	0.8843318729
435	0.8842604343
436	0.8842041115
437	0.884166499
438	0.8840863854
439	0.8840183818
440	0.8839013002
441	0.8838340555
442	0.8837561046
443	0.8836432597
444	0.8835723174
445	0.8835165006
446	0.8834411499
447	0.883384988
448	0.8833305388
449	0.883192343
450	0.883078981
451	0.8830119179
452	0.8829548045
453	0.8828711142
454	0.8827586653
455	0.8826480194
456	0.8826017144
457	0.882510707
458	0.8824341527
459	0.8823410828
460	0.8822963559
461	0.8822069486
462	0.8820988658
463	0.8820018696
464	0.8819241827
465	0.8818198597
466	0.8817428115
467	0.8816927479
468	0.8816345454
469	0.8815680915
470	0.8814633661
471	0.8814177623
472	0.8813585108
473	0.8812585092
474	0.8812225878
475	0.8811682539
476	0.8811092146
477	0.8810763175
478	0.8809879566
479	0.8808887287
480	0.8807477377
481	0.8806843442
482	0.8805842829
483	0.880504484
484	0.8804490741
485	0.88035857
486	0.8802885161
487	0.880234836
488	0.8801865851
489	0.8801529702
490	0.8800472118
491	0.8799467377
492	0.8799183086
493	0.8798159574
494	0.8797612451
495	0.8797054594
496	0.879631605
497	0.8795386071
498	0.8794709141
499	0.8793844151
